Nodos AristasExistentes Tiempo
16 58 151785
16 65 21327
16 60 21158
16 57 20491
16 49 20949
16 53 21223
16 45 19980
16 57 20703
16 64 20988
16 53 20587
16 64 21147
16 56 20759
16 60 20413
16 56 842992
16 68 23681
16 57 22890
16 56 23347
16 60 23641
16 48 22304
16 54 22966
16 60 22855
16 55 22321
16 51 21964
16 46 22656
16 49 22080
16 61 22667
16 48 22646
16 52 22234
16 37 23958
16 61 22365
16 50 25237
16 51 22567
16 43 22648
16 49 23712
16 60 22798
16 55 22914
16 64 22866
16 55 22595
16 47 40745
16 45 22460
16 58 22616
16 54 22781
16 66 23324
16 57 22798
16 53 22643
16 60 23106
16 56 23412
16 58 20780
16 56 21189
16 59 17422
16 49 20656
16 58 23597
16 54 20335
16 60 20867
16 64 21477
16 57 20726
16 48 20483
16 56 20470
16 52 21079
16 57 21564
16 70 22038
16 56 23148
17 54 23810
17 64 22386
17 64 21501
17 55 21415
17 63 22176
17 56 21509
17 56 23645
17 56 24850
17 47 20871
17 58 21436
17 60 21344
17 63 21867
17 57 23564
17 65 15256
17 58 23613
17 57 23423
17 59 24907
17 51 21312
17 56 23353
17 57 23661
17 51 11213
17 57 21850
17 57 21494
17 56 21847
17 55 21496
17 59 58056
17 63 22361
17 51 21256
17 59 21472
17 57 21466
17 51 20908
17 55 21560
17 49 23899
17 62 21953
17 54 21580
17 71 22549
17 50 23505
17 46 23181
17 55 21456
17 57 24027
17 53 21852
17 54 25738
17 52 21294
17 49 20518
17 58 21336
17 55 20940
17 56 21166
17 55 21329
17 59 21994
17 50 20847
17 48 20761
17 48 21015
17 61 21830
17 66 96039
17 70 22311
17 47 24467
17 67 22184
17 50 44195
17 57 21483
17 66 21823
17 63 21906
17 55 21463
17 57 23334
17 54 21475
17 59 21493
17 54 21465
17 61 22001
17 52 23037
17 51 21020
17 57 21569
17 57 23053
17 61 23827
17 54 26647
17 53 23092
17 52 25239
17 53 22942
17 52 22922
17 70 24101
17 65 23712
17 57 25705
17 49 25956
17 48 23086
17 49 25138
17 54 23294
17 53 103261
17 52 25617
17 57 23219
17 50 25118
17 44 22524
17 62 23551
17 61 24885
17 59 24514
17 61 23704
17 62 40427
17 52 44922
17 50 23102
17 46 25655
17 57 45398
17 54 23625
17 62 23966
18 74 25106
18 84 26262
18 66 24920
18 73 24758
18 66 24710
18 62 23945
18 70 26890
18 79 25436
18 72 24662
18 71 24640
18 73 26990
18 67 24647
18 75 25038
18 81 25904
18 78 25318
18 70 24421
18 79 44535
18 67 24184
18 74 24719
18 79 25035
18 75 43119
18 76 25282
18 78 25272
18 72 24702
18 69 22622
18 74 22796
18 66 22264
18 73 22833
18 83 25373
18 75 23326
18 81 23636
18 69 23015
18 66 22168
18 72 25153
18 69 23031
18 77 23558
18 68 24491
18 72 48282
18 66 24297
18 85 23976
18 75 22761
18 76 22876
